Sample	Respective pooled control
1_repA	batch1A_pWT
1_repB	batch1A_pWT
1_repC	batch1A_pWT
1_repD	batch1A_pWT
2_repA	batch1A_pWT
2_repB	batch1A_pWT
2_repC	batch1A_pWT
2_repD	batch1A_pWT
3_repA	batch1A_pWT
3_repB	batch1A_pWT
3_repC	batch1A_pWT
3_repD	batch1A_pWT
4_repA	batch1A_pWT
4_repB	batch1A_pWT
4_repC	batch1A_pWT
4_repD	batch1A_pWT
5_repA	batch1A_pWT
5_repB	batch1A_pWT
5_repC	batch1A_pWT
5_repD	batch1A_pWT
6_repA	batch1A_pWT
6_repB	batch1A_pWT
6_repC	batch1A_pWT
6_repD	batch1A_pWT
7_repA	batch1A_pWT
7_repB	batch1A_pWT
7_repC	batch1A_pWT
7_repD	batch1A_pWT
8_repA	batch1A_pWT
8_repB	batch1A_pWT
8_repC	batch1A_pWT
8_repD	batch1A_pWT
10_repA	batch1B_pWT
10_repB	batch1B_pWT
10_repC	batch1B_pWT
10_repD	batch1B_pWT
11_repA	batch1B_pWT
11_repB	batch1B_pWT
11_repC	batch1B_pWT
11_repD	batch1B_pWT
12_repA	batch1B_pWT
12_repB	batch1B_pWT
12_repC	batch1B_pWT
12_repD	batch1B_pWT
13_repA	batch1B_pWT
13_repB	batch1B_pWT
13_repC	batch1B_pWT
13_repD	batch1B_pWT
14_repA	batch1B_pWT
14_repB	batch1B_pWT
14_repC	batch1B_pWT
14_repD	batch1B_pWT
15_repA	batch1B_pWT
15_repB	batch1B_pWT
15_repC	batch1B_pWT
15_repD	batch1B_pWT
16_repA	batch1B_pWT
16_repB	batch1B_pWT
16_repC	batch1B_pWT
100_repA	batch15A_pWT
100_repB	batch15A_pWT
100_repC	batch15A_pWT
101_repA	batch6_pWT
101_repB	batch6_pWT
101_repC	batch6_pWT
102_repA	batch6_pWT
102_repB	batch6_pWT
102_repC	batch6_pWT
103_repA	batch6_pWT
103_repB	batch6_pWT
103_repC	batch6_pWT
104_repA	batch8_pWT
104_repB	batch8_pWT
104_repC	batch8_pWT
105_repA	batch8_pWT
105_repB	batch8_pWT
105_repC	batch8_pWT
106_repA	batch8_pWT
106_repB	batch8_pWT
106_repC	batch8_pWT
107_repA	batch8_pWT
107_repB	batch8_pWT
107_repC	batch8_pWT
108_repA	batch8_pWT
108_repB	batch8_pWT
108_repC	batch8_pWT
109_repA	batch8_pWT
109_repB	batch8_pWT
109_repC	batch8_pWT
110_repA	batch8_pWT
110_repB	batch8_pWT
110_repC	batch8_pWT
111_repA	batch8_pWT
111_repB	batch8_pWT
111_repC	batch8_pWT
112_repA	batch8_pWT
112_repB	batch8_pWT
112_repC	batch8_pWT
113_repA	batch8_pWT
113_repB	batch8_pWT
113_repC	batch8_pWT
114_repA	batch8_pWT
114_repB	batch8_pWT
114_repC	batch8_pWT
115_repA	batch8_pWT
115_repB	batch8_pWT
115_repC	batch8_pWT
116_repA	batch8_pWT
116_repB	batch8_pWT
116_repC	batch8_pWT
117_repA	batch8_pWT
117_repB	batch8_pWT
117_repC	batch8_pWT
118_repA	batch8_pWT
118_repB	batch8_pWT
118_repC	batch8_pWT
119_repA	batch8_pWT
119_repB	batch8_pWT
119_repC	batch8_pWT
120_repA	batch9_pWT
120_repB	batch9_pWT
120_repC	batch9_pWT
121_repA	batch15A_pWT
121_repB	batch15A_pWT
121_repC	batch15A_pWT
122_repA	batch15A_pWT
122_repB	batch15A_pWT
122_repC	batch15A_pWT
123_repA	batch15A_pWT
123_repB	batch15A_pWT
123_repC	batch15A_pWT
124_repA	batch15A_pWT
124_repB	batch15A_pWT
124_repC	batch15A_pWT
125_repA	batch15A_pWT
125_repB	batch15A_pWT
125_repC	batch15A_pWT
126_repA	batch15A_pWT
126_repB	batch15A_pWT
126_repC	batch15A_pWT
127_repA	batch15A_pWT
127_repB	batch15A_pWT
127_repC	batch15A_pWT
128_repA	batch15A_pWT
128_repB	batch15A_pWT
128_repC	batch15A_pWT
129_repA	batch9_pWT
129_repB	batch9_pWT
129_repC	batch9_pWT
130_repA	batch9_pWT
130_repB	batch9_pWT
130_repC	batch9_pWT
131_repA	batch9_pWT
131_repB	batch9_pWT
131_repC	batch9_pWT
132_repA	batch9_pWT
132_repB	batch9_pWT
132_repC	batch9_pWT
133_repA	batch9_pWT
133_repB	batch9_pWT
133_repC	batch9_pWT
134_repA	batch9_pWT
134_repB	batch9_pWT
134_repC	batch9_pWT
135_repA	batch9_pWT
135_repB	batch9_pWT
135_repC	batch9_pWT
136_repA	batch10_pWT
136_repB	batch10_pWT
136_repC	batch10_pWT
137_repA	batch10_pWT
137_repB	batch10_pWT
137_repC	batch10_pWT
138_repA	batch10_pWT
138_repB	batch10_pWT
138_repC	batch10_pWT
139_repA	batch10_pWT
139_repB	batch10_pWT
139_repC	batch10_pWT
140_repA	batch10_pWT
140_repB	batch10_pWT
140_repC	batch10_pWT
141_repA	batch10_pWT
141_repB	batch10_pWT
141_repC	batch10_pWT
142_repA	batch10_pWT
142_repB	batch10_pWT
142_repC	batch10_pWT
143_repA	batch10_pWT
143_repB	batch10_pWT
143_repC	batch10_pWT
144_repA	batch10_pWT
144_repB	batch10_pWT
144_repC	batch10_pWT
145_repA	batch10_pWT
145_repB	batch10_pWT
145_repC	batch10_pWT
146_repA	batch10_pWT
146_repB	batch10_pWT
146_repC	batch10_pWT
147_repA	batch10_pWT
147_repB	batch10_pWT
147_repC	batch10_pWT
148_repA	batch10_pWT
148_repB	batch10_pWT
148_repC	batch10_pWT
149_repA	batch10_pWT
149_repB	batch10_pWT
149_repC	batch10_pWT
150_repA	batch10_pWT
150_repB	batch10_pWT
150_repC	batch10_pWT
151_repA	batch10_pWT
151_repB	batch10_pWT
151_repC	batch10_pWT
152_repA	batch11_pWT
152_repB	batch11_pWT
152_repC	batch11_pWT
153_repA	batch11_pWT
153_repB	batch11_pWT
153_repC	batch11_pWT
154_repA	batch11_pWT
154_repB	batch11_pWT
154_repC	batch11_pWT
155_repA	batch11_pWT
155_repB	batch11_pWT
155_repC	batch11_pWT
156_repA	batch11_pWT
156_repB	batch11_pWT
156_repC	batch11_pWT
157_repA	batch11_pWT
157_repB	batch11_pWT
157_repC	batch11_pWT
158_repA	batch11_pWT
158_repB	batch11_pWT
158_repC	batch11_pWT
159_repA	batch11_pWT
159_repB	batch11_pWT
159_repC	batch11_pWT
160_repA	batch11_pWT
160_repB	batch11_pWT
160_repC	batch11_pWT
161_repA	batch11_pWT
161_repB	batch11_pWT
161_repC	batch11_pWT
